"ClaimId","Rejected","TypeClass","Year","Doors","Passangers","Costs","RepairType"
1,0,3,2015,4,1,4584,Reperatur
2,1,1,2011,4,1,71283,Austausch
3,1,3,2014,5,1,793,Reperatur
4,1,1,2011,4,1,1000,Reperatur
5,0,3,2011,5,1,4396,Reperatur
6,0,3,2020,5,1,8458,Austausch
7,0,1,2007,5,1,51863,Reperatur
8,0,3,2020,2,2,2108,Reperatur
9,1,3,2013,5,3,11133,Reperatur
10,1,2,2017,4,1,30071,Austausch
11,1,3,2019,4,2,4403,Reperatur
12,1,1,2006,5,1,1000,Reperatur
13,0,3,2015,5,1,4396,Reperatur
14,0,3,2010,4,6,3128,Reperatur
15,0,3,2017,5,1,7854,Reperatur
16,1,2,2006,5,1,2,Reperatur
17,0,3,2020,1,2,2913,Austausch
18,1,2,2020,5,1,1,Reperatur
19,0,3,2012,4,1,2,Reperatur
20,1,3,2020,5,1,723,Austausch
21,0,2,2011,5,1,3,Reperatur
22,1,2,2012,5,1,1,Reperatur
23,1,3,2016,5,1,8029,Austausch
24,1,1,2013,5,1,1000,Reperatur
25,0,3,2018,2,2,2108,Reperatur
26,1,3,2011,4,6,31388,Reperatur
27,0,3,2020,5,1,723,Austausch
28,0,1,2015,2,3,26,Reperatur
29,1,3,2020,5,1,7879,Austausch
30,0,3,2020,5,1,7896,Reperatur
31,0,1,2010,5,1,27721,Austausch
32,1,1,2020,4,1,146521,Austausch
33,1,3,2020,5,1,2758,Austausch
34,0,2,2004,5,1,4396,Reperatur
35,0,1,2013,4,1,82171,Austausch
36,0,1,2010,4,1,5,Reperatur
37,1,3,2020,5,1,7229,Austausch
38,0,3,2015,5,1,4396,Reperatur
39,0,3,2016,3,1,2,Reperatur
40,1,3,2017,4,1,11242,Austausch
41,0,3,2010,4,1,948,Reperatur
42,0,2,2013,4,1,2,Reperatur
43,0,3,2020,5,1,7896,Austausch
44,1,2,2019,4,3,41579,Austausch
45,1,3,2015,5,1,7879,Austausch
46,0,3,2020,5,1,4396,Reperatur
47,0,3,2020,4,1,4397,Austausch
48,1,3,2020,5,1,2758,Austausch
49,0,3,2020,3,1,21679,Austausch
50,0,3,2016,4,1,4406,Reperatur
51,0,3,2018,1,2,39688,Reperatur
52,0,3,2015,5,1,4405,Reperatur
53,1,1,2008,4,1,76729,Austausch
54,1,2,2013,4,1,3,Reperatur
55,0,1,2004,5,2,61979,Austausch
56,1,1,2020,5,1,1000,Reperatur
57,1,2,2015,5,1,4396,Reperatur
58,0,3,-8975,5,1,7229,Austausch
59,1,2,2019,4,3,1000,Reperatur
60,0,3,2017,0,3,1000,Reperatur
61,0,3,2015,5,1,7229,Austausch
62,1,1,2011,5,1,8,Austausch
63,0,1,2009,4,1,8348,Reperatur
64,0,3,2019,2,3,4410,Reperatur
65,0,1,2020,5,1,27721,Austausch
66,1,3,2020,4,2,15246,Austausch
67,1,2,2013,5,1,4396,Reperatur
68,0,3,2015,5,1,8158,Reperatur
69,1,3,2016,1,3,793,Reperatur
70,0,3,2014,3,1,8663,Reperatur
71,0,2,2012,5,1,4396,Reperatur
72,0,3,2016,0,3,1000,Reperatur
73,0,2,2015,5,1,1000,Reperatur
74,0,3,2014,4,1,14454,Austausch
75,1,3,2012,5,1,56496,Reperatur
76,0,3,2014,5,1,2392,Reperatur
